key_0,request_id,unique_key,created_date,closed_date,complaint_type_id,borough_id,descriptor,location_type,incident_zip,latitude,longitude,status,borough_name,complaint_type,category,full_date,date_id,year,month,day_of_week,is_weekend
2026-08-10,1,70008113,2026-08-10 01:50:57,,1,1,Driver Complaint - Non Passenger,Street,11109,40.74723910773346,-73.9563779030925,In Progress,Queens,For Hire Vehicle Complaint,Vehicle,2026-08-10,1,2026,8,Monday,False
2026-08-10,2,70006349,2026-08-10 01:50:24,,2,2,Fire Hydrant Emergency,Sidewalk,10027,,,In Progress,Manhattan,Water Maintenance,Infrastructure,2026-08-10,1,2026,8,Monday,False
2026-08-10,3,70007273,2026-08-10 01:50:00,,3,1,Loud Music/Party,Residential Building/House,11368,40.738832527923456,-73.86275581250639,In Progress,Queens,Noise - Residential,Noise,2026-08-10,1,2026,8,Monday,False
2026-08-10,4,70006536,2026-08-10 01:49:25,,4,3,No Access,Street/Sidewalk,10467,40.87859292486238,-73.86894383282724,In Progress,Bronx,Blocked Driveway,Parking,2026-08-10,1,2026,8,Monday,False
2026-08-10,5,70005996,2026-08-10 01:49:24,,3,1,Loud Music/Party,Residential Building/House,11369,40.76391754539985,-73.87549044798345,In Progress,Queens,Noise - Residential,Noise,2026-08-10,1,2026,8,Monday,False
2026-08-10,6,70006113,2026-08-10 01:49:09,,5,2,Loud Music/Party,Club/Bar/Restaurant,10034,40.86939583069894,-73.91661611865678,In Progress,Manhattan,Noise - Commercial,Noise,2026-08-10,1,2026,8,Monday,False
2026-08-10,7,70005927,2026-08-10 01:48:59,,6,1,Blocked Bike Lane,Street/Sidewalk,11109,40.74723910773346,-73.9563779030925,In Progress,Queens,Illegal Parking,Parking,2026-08-10,1,2026,8,Monday,False
2026-08-10,8,70006066,2026-08-10 01:48:20,,5,2,Loud Music/Party,Store/Commercial,10029,40.79904275099518,-73.94259015149593,In Progress,Manhattan,Noise - Commercial,Noise,2026-08-10,1,2026,8,Monday,False
2026-08-10,9,70013742,2026-08-10 01:47:47,,6,1,Blocked Bike Lane,Street/Sidewalk,11101,40.74679285370747,-73.95232891346055,In Progress,Queens,Illegal Parking,Parking,2026-08-10,1,2026,8,Monday,False
2026-08-10,10,70011757,2026-08-10 01:47:39,,3,3,Loud Music/Party,Residential Building/House,10460,40.84477394812298,-73.88558204647576,In Progress,Bronx,Noise - Residential,Noise,2026-08-10,1,2026,8,Monday,False
2026-08-10,11,70011234,2026-08-10 01:47:22,,3,2,Loud Music/Party,Residential Building/House,10001,40.7470159105558,-73.98561092816436,In Progress,Manhattan,Noise - Residential,Noise,2026-08-10,1,2026,8,Monday,False
2026-08-10,12,70007723,2026-08-10 01:47:11,,7,3,Alarm,Commercial/Mixed Use Building,10462,40.854761951044026,-73.86293230534444,In Progress,Bronx,Noise,Noise,2026-08-10,1,2026,8,Monday,False
2026-08-10,13,70009218,2026-08-10 01:46:54,,6,4,Posted Parking Sign Violation,Street/Sidewalk,11219,40.64165599431851,-73.99405816058862,In Progress,Brooklyn,Illegal Parking,Parking,2026-08-10,1,2026,8,Monday,False
2026-08-10,14,70009398,2026-08-10 01:46:40,,1,1,Driver Complaint - Non Passenger,Street,11101,40.74679285370747,-73.95232891346055,In Progress,Queens,For Hire Vehicle Complaint,Vehicle,2026-08-10,1,2026,8,Monday,False
2026-08-10,15,70007654,2026-08-10 01:46:27,,2,2,Fire Hydrant Emergency,Sidewalk,10027,40.81305085910166,-73.94627734861524,In Progress,Manhattan,Water Maintenance,Infrastructure,2026-08-10,1,2026,8,Monday,False
2026-08-10,16,70010542,2026-08-10 01:45:43,,6,4,Overnight Commercial Storage,Street/Sidewalk,11219,40.62571166171605,-73.99823480547494,In Progress,Brooklyn,Illegal Parking,Parking,2026-08-10,1,2026,8,Monday,False
2026-08-10,17,70011233,2026-08-10 01:45:30,,8,2,Loud Music/Party,Street/Sidewalk,10001,40.7470159105558,-73.98561092816436,In Progress,Manhattan,Noise - Street/Sidewalk,Noise,2026-08-10,1,2026,8,Monday,False
2026-08-10,18,70011653,2026-08-10 01:45:28,,7,3,Alarm,Commercial/Mixed Use Building,10462,40.854414320698965,-73.86373189897043,In Progress,Bronx,Noise,Noise,2026-08-10,1,2026,8,Monday,False
2026-08-10,19,70013947,2026-08-10 01:44:46,2026-08-10 01:49:25,3,2,Loud Music/Party,Residential Building/House,10034,40.86313957727614,-73.92294712351027,Closed,Manhattan,Noise - Residential,Noise,2026-08-10,1,2026,8,Monday,False
2026-08-10,20,70005843,2026-08-10 01:44:40,,3,3,Banging/Pounding,Residential Building/House,10473,40.81869187096104,-73.85044458325993,In Progress,Bronx,Noise - Residential,Noise,2026-08-10,1,2026,8,Monday,False
